aymara,spanish
Nuksuyaña,Chaquear el terreno
Ñusk'usuña,Salir fuera el que se ha zambullido
Nuwala,Beige
Nuwantaña,"Golpear a otra persona. Pegar, maltratar, castigar"
Nuwasiña,Pegarse
Nuwasiwi,"Batalla, lucha, pelea"
Nuwasiyaña,Hacer pelear
Nuwiri,Persona que golpea. Boxeador
Nuwsuña,Golpear a diestra y siniestra a muchos
Nuwt'asiri,Boxeador
Nä,Yo
Orakke,"Suelo, Campo"
P'akiña,"Romper, quebrar"
P'akiniña,Ir a romper
P'akiraña,Romper uno por uno
P'akirapiña,Rompérselo
P'akiri,Persona que rompe
P'akita,Hueso quebrado. Roto.
P'akiyaña,Hacer romper
P'akiyasiña,Romper con la ayuda de alguien
P'akjaña,Romper en dos
P'ap'i,Pescado asado en piedras
P'ap'iña,Asar los pescados
P'aqu,De cabello rubio
P'arp'a,"Variedad de arcilla para la alfarería, Llovizna"
P'asparata,"Piel dañada, como rajada"
P'ataña,Cavar. Picoteo de aves
P'ataniña,Ir a cavar
P'atarapiña,Cavárselo
P'atayaña,Hacer. cavar o picotear
P'atayasiña,Cavar con la ayuda de alguien
P'atsuña,Terminar de cavar
P'inqachaña,Avergonzar
P'inqachata,Avergonzado
P'inqachiri,Persona que avergüenza
P'inqani,Persona que tiene vergüenza
P'iqi,Cabeza
P'iqichiri,Persona que encabeza. Líder
P'iqinchaña,Encabezar
P'isaqa,Perdiz
P'isqi,Comida hecha de quinua
P'itaña,Tejer. s. Instrumento para tejer
P'itaniña,Ir a tejer
P'itarapiña,Tejérselo
P'itata,Tejido
P'itayaña,Hacer tejer con un instrumento
P'itiri,Tejedor
P'itsuña,Terminar de tejer
P'iya,"Agujero, bache, hoyo"
P'iyaña,Agujerear
P'iyaraña,Agujerear uno por uno
P'iyayaña,Hacer agujerear
P'sanqalla,Rosetas de maíz tostado
P'ujru,"Pozo profundo, Lugar cóncavo, hondo"
P'ujsa,"Arenoso, panoso, tubérculos harinosos"
P'ultiña,Zambullir
P'uqiwarachi,Sopa de quinua
P'uquña,Fermentar
P'urp'u,"Alicaído, débil, sin fuerzas"
P'usquta,"Podrido, dañado"
Páapataka,"200, Doscientos"
Páatunka,"20, Veinte"
Páatunka mayani,"21, Veintiuno"
Páatunka payani,"22, Veintidós"
Páawaranga,"2000, Dos mil"
Pacallco,"7, Siete"
Pacha,"Tiempo, época. Lugar."
Pacha uru,Miércoles
Pacha-Khantati,Alba
Pachacha,"Estuco, Masa de yeso"
Pachakuti,Regreso al tiempo pasado
Pachamama,Madre tierra
Pachawawa,Mellizo
Pachha,Frágil
Pachharaña,Quitar algo por arriba
Pachi,Gracias
Pachiqaña,Partir un pedazo de alguna cosa
Pachirapiña,Quitar un pedazo para alguien
Pachjaña,Partir un objeto en dos
Pachjanirapiña,Ir a quitárselo
Pachjt'aña,Partir una cosa en muchos pedazos
Pachpa,"Igual, lo mismo"
Pachpana,En el mismo lugar o sitio
Pachpankaña,Estar en el mismo lugar
Pachpäña,Ser igual
Paia chuq'i,Variedad de papa
Paka,Águila de rapiña
Pakataña,Escoger colocando al lado de lo escogido
Pakima,Cautivo
Palala,Plano achatado
Palapa,Tuétano
Palau,Puente
Palla,Señora
Pallakipaña,Volver a escoger
Pallana,Reventar
Pallaña,Recoger poco a poco
Pallaniña,o Palltaniña. Ir a escoger
Pallantaña,Empezar a escoger
Pallapalla,Cosa achatada redondeada o plana. Carabinero
Pallaraña,Escoger uno por uno
Pallarapiña,Recogérselo
Pallarpayaña,Escoger intencionalmente
Pallata,Escogido
Pallawayaña,Escoger cuando uno está de paso
Pallayaña,Hacer escoger con alguien
Pallchaña,Relucir
Palliri,Persona que escoge
Pallirtukuña,Fingir que uno está escogiendo
Palljaña,Escoger en forma separada
Palljata,Partido o separado en dos
Pallnuqaña,Escoger colocando en un lugar determinado
Pallqa,Lugar donde se cruzan varios caminos
Pallsuña,Terminar de escoger
Palltarapiña,Recoger colocando en un solo lugar
Palltaraqaña,Recogérselo intencionalmente
Palltasiña,Escoger para si mismo
Palltawäña,Recoger cuando uno está de paso
Palltayaña,Hacer recoger
Palltayasiña,Recoger con la ayuda de alguien
Palltiri,Persona que recoge
Pallxataña,Escoger colocando encima
Palta,El aumento que se le da a la carga
Paltani,El que lleva una sobrecarga
Paltaniña,Ir a añadir algo a la carga
Paltaraña,Recoger uno por uno
Paltarapiña,Cargárselo algo sobre la carga
Paltarpayaña,Añadir algo uno por uno a todos
Paltasiña,Poner algo sobre la carga que lleva uno mismo
Paltawäña,Añadir algo encima de la carga
Paltayasiña,Hacerse ayudar con el bulto
Paltsuña,Terminar de cargar
Paltxataña,Colocar encima de la carga
Pampa,Llano. Plaza.
Pampachaña,Aplanar
Pana,Pato silvestre de color blanco que habita en el lago Titicaca
Pani,Pareja
Panini,Entre dos
Paniyaqaña,Salir del camino
Pankataya,Insecto díptero
Panpa,Superficie de terreno plana y extensa
Panpa anu,"Zorro, mamífero carnívoro"
Panpachaña,Perdonar
Panpachaniña,Ir a aplanar una superficie
Panpachasiña,Aplanar uno mismo. Perdonarse.
Panpachata,Aplanado
Panpachawayaña,Aplanar cuando uno está de paso
Panpachayaña,Hacer aplanar
Panpachayasiña,Aplanar con la ayuda de una persona
Panpachiri,Persona que aplana
Panpachraqaña,Aplanárselo
Panpachäwi,Lugar que se aplana
Panqara,Flor
Panqaraña,Florecer
Panqarata,Florecido
Panqariri,Que florece
Panqarkipaña,Florecer de nuevo
Panqart'asiña,Adornarse con flores
Panqartataña,Época en la que las plantas echan flores
Panqartayaña,Adornar con flores
Pantaña,"Confundir. Equivocar, Errar"
Pantanukuña,Desviarse del camino
Pantanukuta,Desviado
Pantaraña,"Equivocarse en todo, Confundir a alguien a propósito"
Pantarasiña,Equivocarse uno mismo
Pantata,"Equivocado, confundido"
Pantataña,Entrar por equivocación en alguna parte
Pantayaña,Hacer equivocar
Panti,Flor de dalia
Pantila,Rosado
Pantipanti,Hierba del altiplano
Pantjasiña,Equivocarse
Paqa,Centelleo
Paqaiiqo tunka,"70, Setenta"
Paqallqu,Siete
Paqaña,Centellear
Paqara,Toda la noche
Paqayaña,Hacer centellar
Paqu,Café claro
Para,Frente
Pari,"Candente, objeto calentado al máximo"
Pariwana,"Grasa tostada, Ave acuática"
Parjgtaña,Despertar
Parki,Terreno sumamente pendiente
Parlaña,Hablar
Parlantaña,Comenzar a hablar
Parlaraña,Hablar por uno
Parlaraniña,Ir a hablar
Parlarapiña,Hablárselo
Parlarpayaña,Hablar intencionalmente
Parlata,Hablado
Parlawayaña,Hablar al paso
Parlawi,Lugar donde se habla
Parlayaña,Hacer hablar
Parliri,Hablador
Parljaña,Hablar con una condición
Parlt'aña,Hablar por un instante
Parlt'asiri,Persona que le gusta conversar
Parpa,"Tuétano, médula"
Parwayu,Flor del maíz
Pasayaña,Traspasar
Pata,"Arriba, encima. Escalón. Sobre."
Pata/Patxa,"Arriba, encima, en lo alto. Encima de o sobre"
Pataca,Cien
Patachaña,Construir plataformas o andenes
Pataka,Cien
Pataka payani,"102, Ciento dos"
Pataka rnayani,"101, Ciento uno"
Pataki,Que está en la superficie
Patanakata,Campo
Patapata,Escalera
Pathan,Encima
Paxi,Mes
Paya,Dos
Payiniña,"Extraviarse, perderse, desviarse"
Payiyaña,Hacer desviar
Payla,Caldera
Paylla,Salario de bienes
Paypacha,Ambos
Payqu,Planta que posee un olor fuerte
Peke,Cabeza
Phajsa,Ausencia de lluvia
Phajsi uru,Lunes
Phala,Soga
Phalakipaña,Volver a retorcer
Phalaña,Reventar o estallar
Phalaniña,Ir a retorcer
Phalantaña,Retorcer en cantidad
Phalasuña,Terminar de retorcer
Phalata,Retorcido
Phalayaña,Phallayaña. Hacer reventar
Phaliri,Persona que hace sogas
Phallaña,Reventar
Phallaraña,Reventar uno por uno
Phallata,Reventado
Phalljaña,Reventar por sí solo
Phalt'aña,Hacer torcer las cerdas por un momento
Phanchhaña,Abrirse como una flor
Phantta,Camisa
Phapha,"Fácil de quebrar, que se desmenuza fácilmente"
Phara,Sed
Pharayaña,Desaguar. Hacer secar.
Pharjaña,Deseo de beber
Pharjata,Sediento
Pharsuña,Terminar de secar
Phasa,Arcilla comestible
Phastaña,Dejar de llover
Phat'aña,Cavar el suelo con picota
Phat'arapiña,Cavárselo
Phat'ayaña,Hacer cavar
Phat'iri,Persona que cava
Phatanka,"Panza, estómago de los animales"
Phatu,"Espeso, tela o tejido muy tupido"
Phatuchaña,Hacer tupido o espeso
Phawaña,Derramar cosas pequeñas con ayuda del viento
Phaxsi,"Luna, Mes"
Phayaña,Cocinar
Phayaniña,Ir a cocinárselo
Phayantaña,Cocinar demasiado
Phayarapiña,Cocinárselo
Phayasiña,Hacer cocinar
Phayata,Cocinado
Phayawayaña,Cocinárselo muy temprano
Phayawi,Cocina
Phayayasiña,Cocinar con la ayuda de alguien
Phayiri,Cocinero
Phaykataña,Comenzar a cocinar
Phichha,Fogata
Phichhaña,"Atizar, Quemar"
Phichhaniña,Ir a atizar
Phichhantaña,Atizar en gran cantidad
Phichhata,"Quemado, Incinerado"
Phichhayaña,Hacer atizar
Phichhiri,Persona que atiza
Phichitanka,Gorrión
Phina,Montón de tubérculos (papas) cubiertos con paja.
Phiña,"Rabia, ira, enojo"
Phinarapiña,Amontonárselo
Phiñasiña,Enojarse
Phiñata,Enojado
Phiñayaña,Hacer enojar
Phiñsuña,Terminar de amontonárselo
Phintuna,Envidia
Phiñu,Cabello de choclo
Phiñxataña,Poner encima del montón
Phiri,Plato típico preparado con quinua
Phiru,Que no tiene belleza
Phiruña,Rueca
Phisa,Liviano
Phisayaña,Aflojar
Phisi,Gato
Phiska tunka,"50, Cincuenta"
Phiskhuña,Limpiar
Phiskhurapiña,Limpiárselo
Phiskhuri,"Limpiador, Barredor"
Phiskhuta,Limpiado
Phiskhuyasiña,Limpiar con la ayuda de alguien
Phiskuña,Terminar de limpiar
Phiskuniña,Ir a limpiar
Phiskuraña,Limpiar uno por uno
Phiskuwayaña,Limpiar cuando uno está de paso
Phisna,Que tiene un peso bajo
Phisña,Liviano
Phisnaña,Tener bajo peso
Phisqa,Cinco
Phisqa tunka,Cincuenta
Phisqachaña,Llegar a cinco
Phisqiri,Quinto
Phitaña,Tejer
Phitiña,Octubre
Phitu,"Prendedor, alfiler"
Phokkaña,Completar
Phucu,Olla
Phujhu,Pozo
Phujra-Uraki,Valle
Phuka,Lleno
Phukhu,Olla
Phukhuni,Persona que tiene ollas
Phukhupura,Ambas ollas
Phukka,Repleto
Phuqhachayaña,Hacer completar
Phuqhachayasiña,Completar con la ayuda de alguien
Phuqhaña,Cumplir
Phuqhaniña,Ir a llenar
Phuqharaña,Llenar varios recipientes
Phuqharapiña,Llenárselo
Phuqhata,Llenado
Phuqhayaña,Hacer cumplir
Phuqhiri,Persona que llena formularios
Phuqhsuña,Rebalsar
Phurixa,Variedad de papa
Phurmuña,Liquido que rebalsa del recipiente por la ebullición (leche)
Phuru,Excremento seco del ganado vacuno que se utiliza como combustible
Phusa,Hueco. Soplo.
Phusantaña,Soplar hacia adentro
Phusaraña,Soplar uno por uno
Phusarapiña,Ir a soplárselo
Phusata,Soplado
Phusayaña,Hacer soplar
Phusayasiña,Soplar con la ayuda de alguien
Phusiri,Persona que sopla
Phusuña,"Soplar con más fuerza, Agujerear, perforar"
Phut'unku,Desnivel en el piso
Phuthiña,Hacer coser algo al vapor
Phutisiña,Arrepentirse
Phutita,Triste
Phutsuña,Abrir un boquete en la pared
Phutuncu,Hoyo
Phututiña,"Vaporoso, caluroso"
Phuxtsuña,Sacar algo con las palmas de la mano
Phuxtu,Objeto que cabe en las manos
Phuyu,Pluma
Phuyuchaña,Poner pluma a alguna cosa
Phäña,Leña o combustible para cocinar
Phäsiniña,Ir a cocinar
Pichaña,Barrer. Escoba.
Pichaniña,Ir a barrer
Pichaqayaña,Quitar un pedazo de algo
Picharapiña,Barrérselo
Pichasiña,Barrerse. Limpiarse.
Pichata,Barrido
Pichawayaña,Barrer al pasar
Pichayaña,Hacer barrer
Pichica,Trenza
Pichikata,Trenza de cabellos
Pichiri,Barrendero. s. Barredor
Pichnaqaña,Fingir que barre
Pichsuña,Terminar de barrer
Pichu,"Amarro, atado, bulto"
Pichuni,Que tiene amarro
Piki-Apamucuta,Preocupado
Pikkata,Molido
Pilla,"Tuerto, persona a la que le falta un ojo"
Pilli,Ave acuática y palmípeda
Pilpintu,Mariposa
Pinquillu,Flauta
Piqakipaña,Volver a moler
Piqaña,Construir una pared para poner el batán. s. Piedras usadas para moler
Piqaniña,Ir a moler
Piqarapiña,Molérselo
Piqata,Molido
Piqawaña,Moler cuando uno está de paso
Piqayasiña,"Hacer moler, Moler con la ayuda de alguien"
Piqiri,Persona que se dedica a moler
Piqjaña,"Moler todo, moler en exceso"
Piqsuña,Terminar de moler
Piqt'aña,Moler por un instante
Pirkka,Pared
Pirkkaña,Edificar
Pirqa,"Pared, muro"
Pirqata,Pared construida
Pirqawayaña,Construir una pared al paso
Pirqayaña,Hacer construir una pared
Pirqiri,"Albañil, persona que construye"
Pirqsuña,Terminar de construir una pared
Pirwa,"Granero, Almacén donde se guardan los cereales"
Pisca,"5, Cinco"
Pisi,"Menos, poco."
Pisiptayaña,Hacer disminuir
Pisirhakhuña,Despreciar
Pisiyaña,Hacer faltar
Pist'aña,"Acabar, escasear. s. Escaso"
Pist'ayiri,Persona que hace faltar
Pistaqui,Barato
Pitaña,Fumar
Pitata,Fumado
Pitayaña,Hacer fumar
Pitiri,Persona que fuma
Pitjaña,Mezclar harina con agua
Pitthapiña,Enemistar una persona con otra
Pitthapita,"Enredo, confuso"
Pitu,El que mezcla. Chismoso.
Pituña,Batir
Pixtaña,"Enredar, confundir"
Pixtasiña,"Enredo, confusión"
Pixturi,Persona que hace que se confundan
Pixtuyaña,Hacer confundir
Pokkata,Completo
Ppaquina,Quebrar
Ppaquiña,Romper
Ppaquita,Quebrado
Ppargtasiña,Despierto
Pphalliri,Explosivo
Pphusaña,Soplar
Ppia,Hueco
Ppikkaña,Moler
Ppinkkasiña,Avergonzarse
Ppuskkuña,"Fermentar, Agriarse"
Pquita,Roto
Pucara,"Castillo, torre."
Puchu,Sobra
Puchuña,Sobrar
Puchuta,Sobrado
Puchuyaña,Hacer sobrar
Pukuta,Maduro
Pulu,Orilla de los tejidos
Puluchaña,Colocar un hilo grueso al comenzar el tejido
Puma,León
Pungu,Esclavo
Punkillu,Instrumento musical de los aymaras
Punku,Puerta
Puqjaña,Terminar de madurar
Puquña,Madurar
Puquta,Madurado
Puquyaña,Hacer madurar una fruta o algo. Producir
Pura,Entre
Puraca,"Vientre, Estómago, panza."
Purapa,Ambos lados
Purapata,De ambos lados
Puriña,"Llegar, arribar"
Purintaña,Comenzar a llegar a un sitio. Llover fuertemente
Purinuqaña,Llegar de distintos sitios. Personas que llegan a un mismo sitio.
Puriraña,Llegar uno por uno. Llegar al frente
Puriyaña,Hacer llegar.
Purt'aña,Llegar por un momento
Puruma,Terreno sin cultivar
Pusi,Cuatro
Pusi pataka,"400, Cuatrocientos"
Pusi tunka,Cuarenta
Pusiri,Cuarto
Putu,Cueva
Putuputu,Nombre de un lugar con muchas cavernas
Pututiña,Tocar el cuerno
Pututu,Bocina de cuerno
Puya,Mazorca de maíz seco
Puyta,Cordero o llama que deja de mamar
Pä,Dos
Pä pataka,Doscientos
Pä tunka,"Veinte, 20"
Pächasiña,Dudar
Päkuti,Dos veces
Q'acha,Manso
Q'achaptaña,Volverse manso
Q'achasiña,Regalarse
Q'achi,Arista
Q'ala,"Todo, terminado"
Q'alala,Desnudo
Q'alalaptaña,Desnudarse. Desvestirse
Q'aljtaña,Despejarse el cielo
Q'alla,Entreverado con diversos colores
Q'alla khawa,"Combinación de colores, camiseta"
Q'allachaña,"Entreverar, cuartear diversos colores"
Q'allaqaña,Quitar un pedazo
Q'allta,Amanecer
Q'allu,Tajadas de papa. Comida cochabambina
Q'alluntaña,Cortar profundo con algo punzante
Q'alluntasiña,Cortarse la mano o cualquier parte
Q'anasiña,Mostrar enojo por la comida u otra razón
Q'añu,Sucio
Q'añuchaña,Ensuciar alguna cosa
Q'añuntata,Ensuciado
Q'añuptaña,Ensuciarse
Q'añusiña,Infidelidad. Época de reproducción de los animales
Q'apha jaqi,Hombre diligente
Q'aphaptaña,Flojo que vuelve a trabajar
Q'aphi,Olor de algún alimento
Q'aphichsuña,Desinfectar el mal olor
Q'apiña,Amasar la masa de harina o barro
Q'apir qulla,Perfume o aroma
Q'apthapiña,Cerrar el puño
Q'aq'uña,"Inquietar, tener estorbo, molestar"
Q'ara,Pelado. Persona de tez blanca
Q'ara laqhampu,Cielo raso
Q'ara lip'ichi,Cuero pelado
Q'ara p'iqi,"Calvo, Persona sin sombrero"
Q'ara qullu,"Cerro estéril, Nombre de pueblo"
Q'arakayu,Descalzo
Q'arltaña,Despejarse
Q'asa,Abertura
Q'asaña,"Gemir, Gritar"
Q'asayaña,Hacer gritar
Q'aspa,Pan negro hecho en horno de piedra. Gorra
Q'athawi,Piedra o cal quemada o por quemar
Q'athawi wajaña,Hacer cocer la piedra para convertirla en cal
Q'athawichaña,Hacer cal
Q'aw,int.adv. Gruñir los intestinos por mucha hambre
Q'awa,Desnivel
Q'awiña,Comer manzanas o cosas crudas
Q'axata,Hijo bastardo
Q'axcha,Trueno o rayo
Q'axu,Muchacha de poca edad
Q'aya,"Preferido, predilecto"
Q'ayachaña,"Alagar, mimar, acariciar"
Q'ayachata,Persona mimada
Q'ayachayasiri,Hacerse mimar
Q'ayachiri,Persona que mima
Q'ayma,"Insípido, que desanima"
Q'aytiltaña,Menearse
Q'ichiña,Quitar o dejar algo con los dedos. Arañar
Q'illi,"Descontento por alguna cosa, Descontentar"
Q'illikhumu,Persona que rechaza algo por alguna cosa
Q'illu,"Mazorca fresca de maíz, Color amarillo"
Q'ilu,Música rock
Q'ina,Maldición
Q'inchhu,Llevar algo en la falda de la pollera
Q'injaña,Maldecir
Q'ipi,"Bulto, carga de un hombre o mujer"
Q'ipichaña,"Preparar una carga, Empaquetar algo"
Q'ipintaña,Meter la carga dentro
Q'ipinuqaniña,Ir a dejar la carga a otro lugar
Q'ipiri,Cargador
Q'ipjaruña,Cargarse
Q'ipnuqaña,Descargar el bulto
Q'ipsuña,Sacar la carga
Q'ipt'ata,Cargado
Q'iptaña,Alzar el bulto
Q'ipthapiri,Cargador que recoge los bultos
Q'ipxaruyaña,Hacer cargar a otro
Q'iri q'iri,Pájaro pequeño
Q'iru,Viga de la casa de adobe
Q'irunchaña,Poner vigas
Q'isana,Estera de totora
Q'isu,Mira de reojo
Q'itha,Persona que huye de su casa. Esperma.
Q'iwa,"Mezquino, tacaño"
Q'iwi q'iwi ,Ir en zig zag.
Q'iwikipaña,Dar la vuelta a otro lado
Q'iwiri,"Tergiversar, chofer. Conductor"
Q'iwisiña,"Luchar, no aceptar"
Q'iwsa,Homosexual
Q'iwt'a,"Curva, ángulo, esquina"
Q'uchu,Canción
Q'uchuña,Cantar himnos cristianos
Q'ullu,Huevo podrido
Q'uma,Limpio
Q'umachasiña,Vestirse bien pero con mala intensión
Q'umapacha,Buen tiempo
Q'umaptayaña,Volver a ser limpio
Q'umara,Saludable
Q'umäña,Estar limpio
Q'upjaña,Apretar algo con la mano
Q'upsuña,Apretar para sacar algún jugo
Q'urawa,Honda para lanzar piedras
Q'urawtaña,Lanzar con la honda
Q'uruta,Testículos
Q'uspiña,Leche cortada
Q'usu,Come poco
Q'uswiqakiña,Comer mucho
Q'utu,Bocio
Q'utuntaña,Aprender toda la tarea o lección
Q'uymi,Polvareda de quinua
Q'uymiña,Ventear al polvo de la quinua
Q'uymäña,"Levantar al aire, el que sacude algo"
Qacha,Producto comestible pequeño o menudo
Qachiña,Sacar cosas menudas
Qachjata,Desmenuzado
Qachu,Hembra (animal)
Qaja,Aplanar un lugar para la papa en la cosecha
Qala,"Piedra, duro. Cantera"
Qala chuñta,Piedra redonda para jugar
Qala chuyma,Corazón duro
Qala chuymani,Persona sin sentimientos
Qala jaqt'aña,Arrojar con la piedra
Qala kayu,"Burro, asno"
Qala liq'i,Persona que moldea la piedra. Picapedrero
Qala liq'iña,Golpear la piedra
Qala llupaña,Tapa de piedra
Qala phinthapiña,Amontonar las piedras
Qala phurkha,Piedra caldeada para la comida
Qala phurkhaña,Coser la carne entre las piedras calientes
Qalaptaña,Hacerse duro
Qalarara,"Pedregoso, pedregal"
Qallaña,"Ser el primero en hacer, empezar"
Qallantaña,Empezar en el momento
Qallap'i,Quena silvestre
Qallaraña,Comenzar o empezar a medias
Qallararaqaña,Comenzar cosa suya
Qallasiña,"Faltar el respeto, Agredir, acometer"
Qallpa,Barbecho
Qallt'ata,Endurecido
Qalltayaña,Hacer empezar
Qallu,"La mitad de un lienzo, Cría de un animal"
Qallucha,"Tormenta, Trenza pequeña"
Qalluchaña,Trenzar el cabello
Qamañ uru,Todo un día
Qamaña,"Vivir, residir. Ocuparse."
Qamaqi,Zorro
Qamasa,Coraje
Qamasiña,"Tomar sitio para descansar, Vivir con alguien"
Qamayaña,Hacer convivir
Qamiri,"Sobre cama hecho de retazos de tela, Rico"
Qamäwi,Lugar de residencia
Qanasa,Bien molido
Qañawa,Quinua cenicienta
Qanchuña,Rebuznar
Qanqiña,A brasar mucho al sol o fuego
Qantuta,Flor tricolor
Qapu,Rueca
Qapuña,Hilar la lana
Qaqa,Canas de la cabeza. Descolorido. Hoyo.
Qaqa wara,Escarcha
Qaqaptaña,Volverse canoso
Qaqarara,Canoso
Qaqilu,Caballo
Qaquri,"Frotador, pulidor"
Qara,Cactus
Qarachi maqhatayaña,Contagiar sarna al otro
Qarachiyasiña,"Tener sarna, Contagiarse"
Qariña,Cansar
Qarjaña,Cansarse
Qarjayaña,Hacer cansar
Qarpakipaña,Regar todo
Qarpayaña,Hacer regar
Qarpayasiña,Hacerse ayudar en el riego
Qarqa,"Roca, Peña"
Qarwa,Llama o auquénido
Qasi,"Pacífico, calmado"
Qasiwi phaxsi,Mes de junio
Qata,"Amargo, hierba silvestre"
Qatachilla,"Estrella, nebulosa"
Qataqura,Hierba amarga
Qatatiña,Arrastrar
Qatatirapiña,Arrastrar para otro
Qatatisiña,Arrastrarse uno a otro
Qatatiyaña,Hacer arrastrar con alguien
Qatatiyasiña,Ayudar a arrastrar a alguien
Qatatnaqtiri,"Reptil, víbora"
Qatatnukuña,Botar a alguien o algo arrastrando
Qatatrantaña,Meter a alguien arrastrando
Qatatsuña,Sacar a alguien arrastrando
Qawakipaña,Volver a aporcar los surcos
Qawaña,Aporcar los surcos
Qawita,Oca soleada
Qawkataña,Aporcar la siembra
Qawqha,Cuanto
Qawra,Llama
Qaxa,Montón de papa u oca
Qhach'a,Productos semi cocidos
Qhach'u,Cebada tierna
Qhachu chuñu,Papa helada
Qhallalli,Espléndido
Qhallarpayaña,Echar liquido consecutivamente
Qhallkataña,Echar con agua de frente
Qhana,"Luz, claridad"
Qhana paqu,Planta medicinal
Qhanachaña,Alumbrar. Alumbrar adentro
Qhanakipuni,Claramente
Qhapaña,Comer manzanas u otras cosas
Qhapaqa,"Persona acaudalada, rica"
Qhaqhakipaña,Volver a torcer a otro lado
Qhaqhaña,Masajear
Qhaqsuña,Torcer
Qhaqsusiña,Torcerse
Qhaqthapiña,Acomodar lo torcido en su lugar
Qhara jurpi,Pasado mañana
Qhara uru,Mañana
Qhata,"Parte posterior de la rodilla, Cuesta, pendiente"
Qhatamiña,"Apresurarse, precipitarse"
Qhathiyaña,Hacer cocer rápido
Qhati,Papa cocida sin pelar
Qhatikipayaña,Volverá hacer cocer bien
Qhatirayaña,Hacer cocer varias cosas
Qhatirayasiña,Quemarse al comer o con líquido caliente
Qhatita,Comida cocida
Qhatiyaña,Hacer cocer
Qhatu,"Mercado, puesto de venta"
Qhatu jaqi,Comprador
Qhatuchaña,Hacer feria
Qhatuchiri,Comerciante del mercado
Qhatun jaqi,El que tiene mercadería para vender
Qhawa,Sitios de venta fuera del mercado
Qhawiña,"Comer crudo:  zanahoria, caña, tallo de totora"
Qhawstaña,Mudarse. Pelarse la piel de algunos animales
Qhaxu,Molestoso
Qhich'a,Acequia
Qhich'aña,Regar
Qhich'ata,Regado
Qhich'ayiri,El que hace regar
Qhichichi,Persona que se queja de todo
Qhichiri,El que riega
Qhilla,Hierba del altiplano
Qhillapata,Cenizal
Qhillar tukuña,Volverse ceniza
Qhillayani,Lugar de cactus
Qhilliña,"Heredero, heredera"
Qhinchha,Mal agüero
Qhini,"Papa dulce, escogida"
Qhiparaña,Atrasarse
Qhiparayaña,Hacer atrasar
Qhipariri,El que se queda
Qhipuru,Futuro del otro día
Qhiqalla,Ceniza
Qhiqhapi,Manchas blancas en el rostro
Qhiri,Fogón
Qhiri apilla,Oca blanca
Qhirqhiña,Hacer bulla
Qhirwa,Valle intermedio
Qhisi,Pez boga
Qhispi,"Vidrio, piedra preciosa"
Qhispita,Salvado
Qhispiyasiña,Salvación
Qhisti,Tiznado
Qhitiqhiña,Hervir
Qhiwikipaña,Cargar de un lado a otro
Qhiwiña,Llevar al hombro
Qhiwintaña,Meter el palo adentro
Qhiwsuña,Sacar el palo hacia fuera
Qhiwt'ata,Persona cargada al hombro
Qhiwxaruña,Cargarse al hombro
Qhiya ali,Árbol de algodón
Qhiya chira,Pepitas de algodón
Qhiyalla,Cactus
Qhucha,Lagaña
Qhuchi amka,Papas tempranas
Qhuchi yapu,"Chacra que madura, presto de buen temple"
Qhuchuña,Empujar algo de un lugar a otro
Qhuchunaktaña,Corretear en grupo
Qhulliña,Arar la tierra. Roturar
Qhullinukaña,Arar mucha tierra
Qhulliri,Persona que rotura la tierra
Qhullirpaña,Arar toda la tierra
Qhullitataña,Arar seguidamente la tierra
Qhulliwipacha,"Tiempo de arar, época"
Qhulthantaña,Persona que está bromeando continuamente
Qhulthuña,"Roncar, bramar"
Qhulu,"Duro, Cosa seca"
Qhulu wayna,Hombre flaco
Qhuluntaña,Endurarse
Qhumaña,"Abrazar. Moler trigo, quinua, etc."
Qhumantaña,Abrazar inmediatamente
Qhumantata,Abrazado
Qhumantayasiri,El que se hace abrazar
Qhumanukuña,Dejar de abrazar
Qhumanukuyaña,Dejar de hacerse abrazar
Qhumiri,Persona que abraza. Persona que muele quinua
Qhuna,Molino
Qhuntayaña,"Estruendo, ruido fuerte"
Qhunthapiyasiri,El que se hace abrazar siempre
Qhupaña,Lavar la cabeza
Qhupaqasiña,Lavarse a sí mismo
Qhupiraña,Destapar la olla u otra cosa
Qhupuña,Cerrar
Qhupxataña,Tapar la olla u otra cosa
Qhurata,Arrastrado por el río
Qhuru,"Malo, duro, rígido"
Qhuru jaqi,Persona mala
Qhuruchasiña,Persona que se encapricha. Caprichoso
Qhurukutu,Pájaro como tórtola
Qhuruptaña,Persona que se vuelve mala
Qhusi nayra,Ojos bonitos
Qhusqhuchaña,Engrasar
Qhusqhuchata,Lleno de grasa
Qhut'a,"Una planta, resina. Plantas de color verde lechuga"
Qhutaña,"Represa, estanque, laguna"
Qhututiri,El que hace ruido
Qhuya,Mina
Qhuyiri,Minero
Qichimukuña,Derramar las cosas a cualquier lugar
Qichintaña,Meter algunas cosas menudas
Qichsuña,Sacar con algo cosas menudas
Qillqakipaña,Escribir más de lo necesario
Qillqaña,Escribir
Qillqaniña,Ir a escribir
Qillqantaña,"Aumentar a la lista, añadir"
Qillqaqaña,Copiar de lo escrito
Qillqarapiri,El que se lo escribe
Qillqasiri,El que se escribe
Qillqiri,Escritor
Qilu,Cojo
Qiluniña,Venir cojeando
Qiluwaña,Ir cojeando
Qimara,Flojo perezoso
Qimillu,Raicilla de comer negra o comida de puercos
Qina,"Instrumento de viento, flauta de caña"
Qinaya,Nube
